ID,Cluster
C1,Cluster-1
C10,Cluster-1
C11,Cluster-2
C12,Cluster-2
C13,Cluster-2
C14,Cluster-1
C15,Cluster-1
C16,Cluster-1
C17,Cluster-1
C18,Cluster-1
C19,Cluster-1
C2,Cluster-1
C20,Cluster-1
C21,Cluster-1
C22,Cluster-1
C23,Cluster-1
C24,Cluster-2
C25,Cluster-1
C26,Cluster-2
C27,Cluster-1
C28,Cluster-2
C29,Cluster-1
C3,Cluster-1
C30,Cluster-1
C31,Cluster-2
C32,Cluster-1
C33,Cluster-1
C34,Cluster-1
C35,Cluster-1
C36,Cluster-2
C37,Cluster-1
C38,Cluster-1
C39,Cluster-2
C4,Cluster-2
C40,Cluster-1
C41,Cluster-1
C42,Cluster-1
C43,Cluster-2
C44,Cluster-2
C45,Cluster-1
C46,Cluster-2
C47,Cluster-2
C48,Cluster-2
C49,Cluster-1
C5,Cluster-2
C50,Cluster-2
C51,Cluster-1
C52,Cluster-2
C53,Cluster-1
C54,Cluster-2
C55,Cluster-1
C56,Cluster-1
C57,Cluster-1
C58,Cluster-1
C59,Cluster-1
C6,Cluster-1
C60,Cluster-1
C61,Cluster-2
C62,Cluster-1
C63,Cluster-2
C64,Cluster-1
C65,Cluster-2
C66,Cluster-1
C67,Cluster-2
C68,Cluster-1
C69,Cluster-1
C7,Cluster-2
C70,Cluster-2
C71,Cluster-1
C72,Cluster-1
C73,Cluster-1
C74,Cluster-2
C75,Cluster-1
C76,Cluster-2
C77,Cluster-1
C78,Cluster-2
C79,Cluster-2
C8,Cluster-2
C80,Cluster-1
C81,Cluster-2
C82,Cluster-2
C83,Cluster-2
C84,Cluster-2
C85,Cluster-1
C86,Cluster-1
C87,Cluster-1
C9,Cluster-1
